Date,open,high,Low,Close,Volume,
2022-10-12,71000,73300,71000,72400,1460000,
2022-10-11,74000,74000,71000,71000,1590000,
2022-10-10,73500,75500,72100,74000,1630000,
2022-10-07,76200,76200,74000,74000,2060000,
2022-10-06,78900,78900,76500,76500,1270000,
2022-10-05,79000,79500,78400,78400,971900,
2022-10-04,78000,79000,77200,77500,2040000,
2022-10-03,79600,80300,76400,77000,1250000,
2022-09-30,77000,80800,76900,80500,2110000,
2022-09-29,79800,80100,77000,77000,1300000,
2022-09-28,80100,80400,78000,78000,2050000,
2022-09-27,82000,82000,80500,80500,932900,
2022-09-26,81500,82000,80300,81500,1860000,
2022-09-23,83100,83100,82100,82400,840600,
2022-09-22,82000,83000,81900,82900,1170000,
2022-09-21,83300,83300,82300,82300,775400,
2022-09-20,83100,83800,82300,83400,575000,
2022-09-19,82500,83600,81900,83100,1780000,
2022-09-16,83700,83900,82500,82500,1360000,
2022-09-15,84500,84500,83700,83700,780500,
2022-09-14,83500,84500,83500,84000,1310000,
2022-09-13,85000,85300,84300,84600,1050000,
2022-09-12,85100,85200,84300,84600,716000,
2022-09-09,84600,85000,84300,84300,1150000,
2022-09-08,84100,85000,83800,84300,1140000,
2022-09-07,85500,85900,84000,84000,2240000,
2022-09-06,86000,86400,85800,85800,1170000,
2022-09-05,86500,86700,85900,86200,1020000,
2022-08-31,85800,87000,85800,86600,1170000,
2022-08-30,86500,87000,86000,86400,1150000,
2022-08-29,87000,87000,84700,86500,2230000,
2022-08-26,86400,87800,86300,87200,1940000,
2022-08-25,86200,86700,86000,86300,1140000,
2022-08-24,86500,86800,86100,86200,1010000,
2022-08-23,85110,86000,85110,86000,1090000,
2022-08-22,85605,86297,84913,85802,1630000,
2022-08-19,86989,87483,85209,85901,1960000,
2022-08-18,86890,88669,86890,87285,2550000,
2022-08-17,87977,88076,86989,87285,1510000,
2022-08-16,87878,88372,87087,87680,1380000,
2022-08-15,85605,88076,85605,87878,3090000,
2022-08-12,84715,85506,84715,85506,1240000,
2022-08-11,85209,85802,84715,85012,1850000,
2022-08-10,85308,85703,85012,85012,1120000,
2022-08-09,85012,86494,84715,85209,2320000,
2022-08-08,84913,85407,84320,85012,1590000,
2022-08-05,85110,86198,84616,84814,1770000,
2022-08-04,84122,85605,83924,85110,3050000,
2022-08-03,84023,84221,83232,83825,2250000,
2022-08-02,83035,84122,82540,84023,1880000,
2022-08-01,83035,83232,82145,83035,1820000,
2022-07-29,84122,84221,82540,82540,1940000,
2022-07-28,84221,84814,82145,83924,1660000,
2022-07-27,83628,84221,83430,84221,771100,
2022-07-26,85012,85012,83825,83825,1130000,
2022-07-25,86000,86000,84122,84418,2250000,
2022-07-22,85407,85506,84122,84122,1310000,
2022-07-21,84913,84913,83529,84023,1800000,
2022-07-20,84023,84913,83035,83924,2850000,
2022-07-19,81947,82046,81255,82046,1190000,
2022-07-18,81848,83529,81354,82046,1260000,
2022-07-15,83035,83035,81255,81255,1380000,
2022-07-14,81848,82540,81255,81848,891300,
2022-07-13,83035,83035,81552,81552,1140000,
2022-07-12,81848,82540,81749,82540,602800,
2022-07-11,83628,83628,81848,81848,998100,
2022-07-08,82936,83035,82145,82639,910400,
2022-07-07,82936,83628,82145,82145,1290000,
2022-07-06,83133,84913,82540,82540,2230000,
2022-07-05,86791,86791,84418,84418,1400000,
2022-07-04,87483,87483,85012,85704,1010000,
2022-07-01,86000,87779,83825,86989,1700000,
2022-06-30,88471,88867,85209,85209,1510000,
2022-06-29,87878,88966,87186,88966,1180000,
2022-06-28,88471,89163,86198,88669,2300000,
2022-06-27,85407,86890,84913,85506,1250000,
2022-06-24,85110,86791,84517,84517,902400,
2022-06-23,83035,85802,82738,84517,2020000,
2022-06-22,88768,89361,83430,83529,2970000,
2022-06-21,91338,92425,87977,88076,2460000,
2022-06-20,92425,93414,90251,90943,2480000,
2022-06-17,89262,91536,87977,90943,2320000,
2022-06-16,89954,92722,89163,90943,2520000,
2022-06-15,89559,89559,86989,89460,1760000,
2022-06-14,85012,88867,84517,88076,2310000,
2022-06-13,86989,89756,85012,85209,3390000,
2022-06-10,93414,94485,90613,90613,3570000,
2022-06-09,95144,95473,93331,94979,2050000,
2022-06-08,95803,96874,94320,94732,3190000,
2022-06-07,92837,95226,89460,95226,4690000,
2022-06-06,93908,95556,92261,93084,3070000,
2022-06-03,91849,93908,91354,93908,2110000,
2022-06-02,92920,94567,91519,91849,2750000,
2022-06-01,90531,93002,90448,92096,2440000,
2022-05-31,91684,91684,88554,90531,2590000,
2022-05-30,91519,92590,89954,91684,3000000,
2022-05-27,86989,92261,86906,92096,4650000,
2022-05-26,86659,88224,86165,86989,1710000,
2022-05-25,81964,86494,81305,86494,4520000,
2022-05-24,79492,80893,79080,80893,1660000,
2022-05-23,80893,80893,79163,79492,1360000,
2022-05-20,80481,81469,79904,80316,1690000,
2022-05-19,78339,80481,78339,79904,1470000,
2022-05-18,82128,82458,80316,80481,2320000,
2022-05-17,76609,82128,76197,82128,2450000,
2022-05-16,80316,80316,76774,76774,2090000,
2022-05-13,79163,81552,76692,77103,4920000,
2022-05-12,81799,83941,78257,78751,3110000,
2022-05-11,80728,83941,79740,83941,2000000,
2022-05-10,77433,81387,75785,81058,3380000,
2022-05-09,80975,81552,77433,77433,5400000,
2022-05-06,84270,85671,82540,82540,2920000,
2022-05-05,86165,86906,83941,86247,2630000,
2022-05-04,86412,87236,85753,86082,1920000,
2022-04-29,86494,88224,85835,86494,4790000,
2022-04-28,84764,87977,84435,86906,3040000,
2022-04-27,84435,85671,82787,84847,3040000,
2022-04-26,82540,86494,79904,85918,6520000,
2022-04-25,90695,91354,85176,85176,5530000,
2022-04-22,92672,93826,87318,91519,6850000,
2022-04-21,91602,95473,91602,92261,4880000,
2022-04-20,92261,93084,90284,92261,3950000,
2022-04-19,95967,96379,92261,92261,5680000,
2022-04-18,94732,97697,93908,95144,4030000,
2022-04-15,94814,97121,93908,94732,3750000,
2022-04-14,94897,97944,94897,96050,4240000,
2022-04-13,90613,94814,90448,94814,3990000,
2022-04-12,89789,91849,87812,90448,3790000,
2022-04-08,93331,93826,89377,89377,4880000,
2022-04-07,93661,96297,92343,93331,4700000,
2022-04-06,89295,93908,89295,93084,5010000,
2022-04-05,89872,91931,89789,89789,2240000,
2022-04-04,93496,93496,90036,90036,3230000,
2022-04-01,88059,91437,87400,91437,5180000,
2022-03-31,86906,91107,86165,88142,4170000,
2022-03-30,87153,88389,86082,87318,3400000,
2022-03-29,81222,86412,81222,86412,9870000,
2022-03-28,78669,81305,78421,80810,4200000,
2022-03-25,79163,79492,78751,78833,1470000,
2022-03-24,79080,80069,78504,79080,2190000,
2022-03-23,79492,80316,79080,79492,2370000,
2022-03-22,79080,79904,78586,79410,2500000,
2022-03-21,78421,79080,78257,78504,1870000,
2022-03-18,76609,79575,76609,78339,3380000,
2022-03-17,75621,76362,75374,75785,1420000,
2022-03-16,75044,76033,74550,75456,1370000,
2022-03-15,75621,75621,73973,74962,2250000,
2022-03-14,76609,76609,74550,75621,2330000,
2022-03-11,77845,77927,76362,76774,1370000,
2022-03-10,79328,79328,77927,77927,934440,
2022-03-09,77927,79492,77927,78669,2640000,
2022-03-08,77268,78586,76280,78092,2670000,
2022-03-07,76692,77351,75950,77268,2040000,
2022-03-04,76856,77268,76609,77021,1610000,
2022-03-03,76774,77433,76774,76939,1150000,
2022-03-02,76609,76939,76362,76692,1310000,
2022-03-01,77433,77433,76197,76939,1320000,
2022-02-28,76033,77021,76033,76856,1810000,
2022-02-25,76115,76939,75868,76033,1270000,
2022-02-24,76609,77021,74138,75785,1620000,
2022-02-23,76280,77351,76280,76609,1170000,
2022-02-22,76609,76856,75785,76527,1390000,
2022-02-21,75950,77433,75785,77021,1660000,
2022-02-18,76033,76197,75538,75950,742560,
2022-02-17,75703,76444,74962,76444,1020000,
2022-02-16,75538,76197,75209,75209,737040,
2022-02-15,74962,75538,74550,75044,786480,
2022-02-14,74962,75456,74467,74962,928920,
2022-02-11,75621,76115,75291,75456,769920,
2022-02-10,75291,75785,74303,75785,1170000,
2022-02-09,75538,75538,74632,74715,1370000,
2022-02-08,73726,75621,73726,74632,1010000,
2022-02-07,74138,74220,73314,73726,622080,
2022-01-28,70843,73726,70761,73726,1860000,
2022-01-27,70843,71420,70349,70761,863520,
2022-01-26,71667,71667,70431,70843,1100000,
2022-01-25,70184,72079,69195,71255,1430000,
2022-01-24,72655,72902,70019,70266,2430000,
2022-01-21,73314,73973,72655,72655,1010000,
2022-01-20,72820,74962,72738,73149,1600000,
2022-01-19,72573,73479,72490,72738,893880,
2022-01-18,72738,73808,72490,72573,1450000,
2022-01-17,74550,75209,73314,73314,1880000,
2022-01-14,75538,75868,74879,75209,824040,
2022-01-13,74879,76362,73973,75868,2170000,
2022-01-12,73397,74632,72902,73808,2090000,
2022-01-11,75785,75950,73397,73726,3010000,
2022-01-10,76774,77021,75703,75785,2260000,
2022-01-07,76692,77186,76692,76939,1220000,
2022-01-06,77103,77433,77021,77021,1430000,
2022-01-05,77186,77598,77021,77103,1430000,
2022-01-04,76939,77598,76856,77021,2320000,
2021-12-31,77268,77762,76609,76609,1930000,
2021-12-30,77186,77680,77021,77103,972960,
2021-12-29,78092,78092,77103,77103,1090000,
2021-12-28,77845,78174,77515,77845,680760,
2021-12-27,77598,78257,76856,77845,952440,
2021-12-24,77021,77845,76444,77268,1420000,
2021-12-23,78257,78257,76609,76774,2320000,
2021-12-22,78257,78586,77927,78257,2000000,
2021-12-21,78833,78998,78339,78421,1330000,
2021-12-20,79492,79492,78669,78916,1220000,
2021-12-17,78751,79904,78669,79410,1380000,
2021-12-16,80316,80316,78669,78669,1490000,
2021-12-15,78833,79328,78751,78998,970080,
2021-12-14,79080,79410,78586,78833,1370000,
2021-12-13,79492,79492,78751,79080,1080000,
2021-12-10,79410,79904,78586,78916,1390000,
2021-12-09,78339,79904,78339,79904,1190000,
2021-12-08,79492,79492,78257,78751,1280000,
2021-12-07,78257,79080,77845,79080,1740000,
2021-12-06,78669,79492,77598,77845,2870000,
2021-12-03,80563,80563,78669,78669,2410000,
2021-12-02,80399,80975,80069,80069,1140000,
2021-12-01,80316,81222,79657,80893,1510000,
2021-11-30,80810,81140,79904,79987,3080000,
2021-11-29,80316,81469,80316,80810,2390000,
2021-11-26,82458,83035,81387,81469,2400000,
2021-11-25,81140,83858,80975,82376,6580000,
2021-11-24,79657,81058,79410,80646,2930000,
2021-11-23,78257,79575,78174,79575,1380000,
2021-11-22,78669,79080,78257,78257,2000000,
2021-11-19,80316,80563,78339,78504,2980000,
2021-11-18,80975,81305,79492,79492,2410000,
2021-11-17,80975,81058,80728,80975,1420000,
2021-11-16,80151,81964,79740,80975,4210000,
2021-11-15,81140,81140,80151,80151,2290000,
2021-11-12,79245,80893,78998,80728,2690000,
2021-11-11,79904,80728,78916,79080,2550000,
2021-11-10,79410,79904,78998,79904,1910000,
2021-11-09,80316,80399,79080,79410,2220000,
2021-11-08,80399,81140,80151,80234,2030000,
2021-11-05,79245,80563,79080,80399,2600000,
2021-11-04,79163,79740,78833,79080,2110000,
2021-11-03,79245,79657,78421,79163,3220000,
2021-11-02,78669,79904,78669,79163,2530000,
2021-11-01,80234,80234,78751,78916,3430000,
2021-10-29,80728,80728,79822,79822,2860000,
2021-10-28,80893,81058,80069,80728,1970000,
2021-10-27,79740,80893,79492,80893,2790000,
2021-10-26,78257,79822,77680,79822,2230000,
2021-10-25,79245,79245,78174,78174,3530000,
2021-10-22,79904,80234,79163,79245,2430000,
2021-10-21,81058,81140,79657,79657,2740000,
2021-10-20,81305,81964,79575,80399,2700000,
2021-10-19,81552,81964,81222,81222,1840000,
2021-10-18,81552,82376,81222,81552,2720000,
2021-10-15,81881,82458,81058,81469,2040000,
2021-10-14,81881,82376,81058,81387,2190000,
2021-10-13,81552,83611,81140,81881,3880000,
2021-10-12,81717,81717,81140,81552,1350000,
2021-10-11,81552,81799,80975,81717,2750000,
2021-10-08,78257,81964,77762,81469,9970000,
2021-10-07,78174,78257,77515,77680,1800000,
2021-10-06,77845,78010,77186,77762,1890000,
2021-10-05,78257,79080,77762,77762,1670000,
2021-10-04,76609,78421,76115,77927,2730000,
2021-10-01,76527,76692,76197,76527,1270000,
2021-09-30,77021,77351,76609,76609,1200000,
2021-09-29,76609,76939,76033,76774,1410000,
2021-09-28,75538,76609,75374,76609,1670000,
2021-09-27,76527,77021,75868,75868,1860000,
2021-09-24,76774,76774,76362,76362,1740000,
2021-09-23,76774,77268,76609,76692,1670000,
2021-09-22,76774,76939,76362,76774,2430000,
2021-09-21,76939,77433,76197,77021,3240000,
2021-09-20,79080,79245,77515,77762,3030000,
2021-09-17,78669,79904,78586,78833,3990000,
2021-09-16,77762,78257,77598,78010,2310000,
2021-09-15,77268,77762,76856,77515,2030000,
2021-09-14,76856,78010,76609,77268,3030000,
2021-09-13,77103,77433,76527,76609,1920000,
2021-09-10,76939,77762,76939,77021,1730000,
2021-09-09,76692,77351,76444,76774,1670000,
2021-09-08,77021,77598,76444,76692,1740000,
2021-09-07,78504,78504,77021,77021,2750000,
2021-09-06,76115,78174,76033,78174,3750000,
2021-09-01,75868,76609,75868,76115,1620000,
2021-08-31,76033,76774,75785,76115,2340000,
2021-08-30,76609,76609,75868,75950,1790000,
2021-08-27,74962,75785,74632,75785,2280000,
2021-08-26,75785,76527,75126,75291,2110000,
2021-08-25,76115,76115,74962,75703,1610000,
2021-08-24,75374,75785,74056,75703,3700000,
2021-08-23,76197,76197,74962,74962,4120000,
2021-08-20,77845,78010,75044,76444,5220000,
2021-08-19,78257,78257,77268,77845,3270000,
2021-08-18,77268,78174,77268,77433,2340000,
2021-08-17,77515,77927,77021,77268,3360000,
2021-08-16,78257,78421,77762,77927,2290000,
2021-08-13,75884,77433,75803,77433,4340000,
2021-08-12,78085,78248,76129,76455,10080000,
2021-08-11,79634,79715,78330,78330,5860000,
2021-08-10,80123,80204,79552,79715,3220000,
2021-08-09,79063,79634,78167,79471,3520000,
2021-08-06,78900,79226,78085,78737,4100000,
2021-08-05,77596,79063,77352,78737,2980000,
2021-08-04,78167,78411,77352,77922,3380000,
2021-08-03,78085,78248,77188,78085,4330000,
2021-08-02,76618,78737,76618,77922,5130000,
2021-07-30,76210,77270,75640,76618,5430000,
2021-07-29,74988,76536,74743,76129,4460000,
2021-07-28,75640,76373,74743,74988,4020000,
2021-07-27,76944,77352,75395,75966,6010000,
2021-07-26,73602,76536,73521,76373,6930000,
2021-07-23,72869,75721,72298,73765,8110000,
2021-07-22,70260,73032,70260,72869,5330000,
2021-07-21,70749,71646,70179,70586,4040000,
2021-07-20,69119,70749,68386,70749,3060000,
2021-07-19,69445,70423,68875,69038,3950000,
2021-07-16,70016,71727,69690,70749,2740000,
2021-07-15,69038,70586,69038,69608,3260000,
2021-07-14,71401,71401,69038,69445,2920000,
2021-07-13,70831,71157,69282,70912,2650000,
2021-07-12,72379,73113,68141,70179,8120000,
2021-07-09,73032,74988,72379,73113,3540000,
2021-07-08,73684,73765,72543,73195,2850000,
2021-07-07,70912,74173,69282,73765,5890000,
2021-07-06,75395,75803,70912,70912,3170000,
2021-07-05,77433,77433,74173,75558,3520000,
2021-07-02,72787,75395,72461,74906,4650000,
2021-07-01,71809,72461,71727,72461,2040000,
2021-06-30,72543,72624,71727,71727,1980000,
2021-06-29,70586,72543,70342,72216,5880000,
2021-06-28,70179,70179,69608,69853,2230000,
2021-06-25,69038,69608,68630,69445,1800000,
2021-06-24,68712,69201,68386,69038,1990000,
2021-06-23,69527,69771,68549,69201,1920000,
2021-06-22,70179,70586,69608,69608,2110000,
2021-06-21,68141,70342,67815,69771,4650000,
2021-06-18,67734,68630,67407,68304,2020000,
2021-06-17,66918,67734,66918,67326,2680000,
2021-06-16,67815,68956,67407,67734,2950000,
2021-06-15,68304,68875,67815,67815,2130000,
2021-06-14,68060,68956,67652,68304,3060000,
2021-06-11,66429,68386,66266,68060,2830000,
2021-06-10,66592,67244,66022,66755,2660000,
2021-06-09,65696,66918,64392,66592,4290000,
2021-06-08,66837,67652,65696,65859,4180000,
2021-06-07,68956,69038,66022,67407,4450000,
2021-06-04,69282,69364,68304,69038,4580000,
2021-06-03,69282,69608,68712,69445,3830000,
2021-06-02,70994,71320,69282,69690,3660000,
2021-06-01,71646,72135,70912,70994,4190000,
2021-05-31,67086,68842,66524,68772,4470000,
2021-05-28,66033,66735,65822,66594,2590000,
2021-05-27,66946,67016,65681,65892,2410000,
2021-05-26,66173,67086,65822,66946,2750000,
2021-05-25,65681,66875,65190,65892,2980000,
2021-05-24,65892,65962,64698,65681,3680000,
2021-05-21,66243,67859,65330,65892,4450000,
2021-05-20,63785,67086,63504,67086,4860000,
2021-05-19,61466,63995,60975,63785,3970000,
2021-05-18,60694,61396,60553,61115,2940000,
2021-05-17,60272,60834,59851,60202,2410000,
2021-05-14,59219,60553,59078,59570,2570000,
2021-05-13,59710,59991,59008,59008,3530000,
2021-05-12,59710,59991,59219,59991,2550000,
2021-05-11,60413,60834,59851,59851,2870000,
2021-05-10,58376,60413,58305,60272,6220000,
2021-05-07,58095,59008,57814,58305,3730000,
2021-05-06,58305,58657,57743,58095,2720000,
2021-05-05,59359,59359,58095,58235,3200000,
2021-05-04,56198,58657,56198,58235,3260000,
2021-04-29,56760,57462,56760,56830,2890000,
2021-04-28,56268,57111,56268,56760,1890000,
2021-04-27,56479,57181,56268,56690,1780000,
2021-04-26,57954,58165,56549,56900,3520000,
2021-04-23,56198,58305,55987,58305,4370000,
2021-04-22,57603,58938,56198,56198,3130000,
2021-04-20,57462,59640,57322,58235,6550000,
2021-04-19,56198,57252,55847,57252,3290000,
2021-04-16,56057,57041,55355,55987,3030000,
2021-04-15,56900,57181,56057,56198,2890000,
2021-04-14,56198,56900,55847,56900,3490000,
2021-04-13,57603,57743,56549,56690,2810000,
2021-04-12,57884,57884,57252,57673,2790000,
2021-04-09,56128,58305,56128,57673,5480000,
2021-04-08,56338,56619,55847,55917,2220000,
2021-04-07,55636,55987,55566,55917,2080000,
2021-04-06,55566,56198,55566,55776,2080000,
2021-04-05,56479,56549,55425,55917,2050000,
2021-04-02,56479,56549,56057,56057,2690000,
2021-04-01,54723,55987,54723,55987,3450000,
2021-03-31,54161,54863,53809,54582,1900000,
2021-03-30,54723,54793,54090,54161,2090000,
2021-03-29,53739,54863,53458,54512,2760000,
2021-03-26,53528,53950,52334,53458,3690000,
2021-03-25,54442,54442,53739,53809,3180000,
2021-03-24,54723,55425,53739,54090,3420000,
2021-03-23,55144,56198,55004,55355,3040000,
2021-03-22,55847,55917,55004,55285,2880000,
2021-03-19,56198,56549,55776,56057,3100000,
2021-03-18,56900,56900,56198,56900,2490000,
2021-03-17,57252,57252,56198,56760,2210000,
2021-03-16,54090,57252,53809,56900,7050000,
2021-03-15,53809,54442,53458,53739,2430000,
2021-03-12,54090,54161,53599,53739,2850000,
2021-03-11,53739,54161,53458,53880,2040000,
2021-03-10,53318,54442,52686,53599,3590000,
2021-03-09,52686,53177,52334,52686,3010000,
2021-03-08,53388,53739,52967,53248,2290000,
2021-03-05,53037,53388,52334,53318,3460000,
2021-03-04,54582,54652,52756,53318,4000000,
2021-03-03,54793,54863,54371,54582,2210000,
2021-03-02,55425,55425,54020,54723,2510000,
2021-03-01,53950,54793,53950,54723,2870000,
2021-02-26,52686,53669,52615,53528,2670000,
2021-02-25,53458,53599,52334,53528,2660000,
2021-02-24,53388,53739,52615,52967,3070000,
2021-02-23,53599,54090,52405,53037,4650000,
2021-02-22,53809,54442,53458,53950,3200000,
2021-02-19,54301,54793,53388,53809,5140000,
2021-02-18,54793,55004,53809,54933,3100000,
2021-02-17,53599,55495,53318,54723,4330000,
2021-02-09,50157,52405,49173,52405,5830000,
2021-02-08,51210,51210,48892,50086,5570000,
2021-02-05,51281,51562,50438,51210,2880000,
2021-02-04,49314,51421,49314,50929,6070000,
2021-02-03,47417,49595,46434,49173,5760000,
2021-02-02,44326,46363,44256,46363,4510000,
2021-02-01,45239,45942,43764,44607,2780000,
2021-01-29,41446,44045,41446,44045,4430000,
2021-01-28,42148,43764,41165,41165,7030000,
2021-01-27,46153,46434,44186,44256,3070000,
2021-01-26,47417,47417,46012,46363,3580000,
2021-01-25,46925,47909,46504,47066,4290000,
2021-01-22,46153,47417,45942,46995,2880000,
2021-01-21,45310,46223,44467,46082,3190000,
2021-01-20,44045,44748,42289,44467,5060000,
2021-01-19,46363,46434,43343,43553,4840000,
2021-01-18,47066,47066,46504,46574,1670000,
2021-01-15,47066,47066,46644,46785,2130000,
2021-01-14,46715,47066,46153,46644,2450000,
2021-01-13,46293,47347,46293,46715,3600000,
2021-01-12,45661,46363,44958,46223,3360000,
2021-01-11,44888,45450,44467,45450,2720000,
2021-01-08,44256,44748,43975,44467,3750000,
2021-01-07,43975,44186,43483,43905,2970000,
2021-01-06,44326,44677,43764,43834,2480000,
2021-01-05,42148,44607,42008,44045,3220000,
2021-01-04,41867,42289,41657,42289,2970000,
2020-12-31,40814,41586,40743,41516,2810000,
2020-12-30,41376,41376,40814,40814,1660000,
2020-12-29,40673,41305,40462,41165,3000000,
2020-12-28,40673,41165,40392,40673,3030000,
2020-12-25,40041,40462,39760,40462,2240000,
2020-12-24,40392,40603,39620,40041,3290000,
2020-12-23,40954,41165,40182,40392,1920000,
2020-12-22,40322,41095,40111,40814,3560000,
2020-12-21,40252,40603,40111,40392,3180000,
2020-12-18,39690,40111,39690,39971,2120000,
2020-12-17,39971,40111,39339,39690,4960000,
2020-12-16,40182,40392,40041,40111,2750000,
2020-12-15,40392,40462,39760,39830,3680000,
2020-12-14,40041,40743,39971,40182,1990000,
2020-12-11,39760,40041,39549,40041,2420000,
2020-12-10,40041,40533,39690,39690,2920000,
2020-12-09,39549,40603,39479,40392,4140000,
2020-12-08,39128,39760,38987,39479,3170000,
2020-12-07,39268,39339,38987,39128,2010000,
2020-12-04,38917,39268,38917,39128,1910000,
2020-12-03,38987,39128,38706,39058,2250000,
2020-12-02,38636,39128,38636,39058,2910000,
2020-12-01,38636,38917,38496,38777,4730000,
2020-11-30,39830,39830,38917,38917,3810000,
2020-11-27,39268,39479,39058,39479,2740000,
2020-11-26,38987,39339,38496,39128,2260000,
2020-11-25,39549,39549,38777,38777,2530000,
2020-11-24,39268,39690,38636,39058,4150000,
2020-11-23,38777,39479,38355,39268,3900000,
2020-11-20,38706,39268,38636,38777,2540000,
2020-11-19,38144,39339,37934,38706,6870000,
2020-11-18,38144,38144,37723,37934,2420000,
2020-11-17,37653,38004,37231,37934,3470000,
2020-11-16,37934,38215,37231,37442,5120000,
2020-11-13,37793,37793,37582,37793,1820000,
2020-11-12,37231,37582,37161,37582,1700000,
2020-11-11,37512,37512,37020,37231,2300000,
2020-11-10,37934,37934,37231,37231,2400000,
2020-11-09,37091,37512,37020,37512,2780000,
2020-11-06,36810,37091,36599,36810,1360000,
2020-11-05,37020,37512,36529,36529,1800000,
2020-11-04,37231,37442,36880,37231,1890000,
2020-11-03,36458,37161,36318,37091,3540000,
2020-11-02,36177,36318,35967,36318,1200000,
2020-10-30,36107,36177,35475,36177,2030000,
2020-10-29,35405,36037,35264,35756,3750000,
2020-10-28,36529,36810,35615,35615,4960000,
2020-10-27,37161,37372,36599,36599,4400000,
2020-10-26,37863,38285,37091,37091,5320000,
2020-10-23,38074,38285,37582,37863,3650000,
2020-10-22,37091,37934,36950,37934,3240000,
2020-10-21,37372,38285,37091,37091,4560000,
2020-10-20,37301,37442,36880,37372,2600000,
2020-10-19,37653,37793,37231,37442,3220000,
2020-10-16,35967,37863,35756,37372,7960000,
2020-10-15,35967,36107,35615,35967,2660000,
2020-10-14,35686,36107,35405,35826,3330000,
2020-10-13,35756,35826,35475,35615,1690000,
2020-10-12,35756,36107,35545,35756,2140000,
2020-10-09,35826,35967,35686,35686,1620000,
2020-10-08,35475,36177,35334,35896,4230000,
2020-10-07,35264,35615,35264,35405,2060000,
2020-10-06,35686,35756,35334,35475,2100000,
2020-10-05,35405,35686,35053,35475,2070000,
2020-10-02,35686,35896,34421,35334,2690000,
2020-10-01,35264,35686,35264,35686,1250000,
2020-09-30,35264,35405,34948,35124,3450000,
2020-09-29,36107,36107,35264,35264,2620000,
2020-09-28,35756,36037,35545,35896,1810000,
2020-09-25,35615,35686,35124,35686,1660000,
2020-09-24,35615,35826,35264,35475,2390000,
2020-09-23,36037,36177,35686,35896,2480000,
2020-09-22,35686,36037,35545,36037,2250000,
2020-09-21,36037,36318,35967,35967,2110000,
2020-09-18,35194,36107,35124,35967,4560000,
2020-09-17,35334,35475,35053,35124,2160000,
2020-09-16,35124,35686,35124,35475,2650000,
2020-09-15,34772,35124,34632,35124,2630000,
2020-09-14,34597,34772,34491,34632,1560000,
2020-09-11,34421,34562,34316,34527,1200000,
2020-09-10,34772,34983,34491,34562,1390000,
2020-09-09,34175,34772,34140,34562,2060000,
2020-09-08,34246,34772,34070,34772,2250000,
2020-09-07,35089,35124,34070,34070,3130000,
2020-09-04,34772,35124,34772,35124,2120000,
